# DIAM  	 FIN_C[0]  	 FIN_M[0]  	 FIN_C[1]  	 FIN_M[1]  	 FIN_C[2]  	 FIN_M[2]  	 TOT_C  	  TOT_M
# conc0 = 0.315E-15
2.0000e+02;	3.4723e-12;	2.0834e+01	3.4291e-12;	2.0574e+01	2.8639e-15;	3.4367e-02;	6.9043e-12;	4.1443e+01;
7.0000e+02;	4.2465e-12;	2.5479e+01	3.8384e-12;	2.3031e+01	3.0082e-14;	3.6098e-01;	8.1151e-12;	4.8871e+01;
1.2000e+03;	5.4987e-12;	3.2992e+01	5.0881e-12;	3.0529e+01	8.3489e-14;	1.0020e+00;	1.0670e-11;	6.4523e+01;
1.7000e+03;	7.4008e-12;	4.4405e+01	7.2502e-12;	4.3501e+01	1.5899e-13;	1.9102e+00;	1.4810e-11;	8.9816e+01;
2.2000e+03;	9.6304e-12;	5.7782e+01	9.8330e-12;	5.8998e+01	2.5187e-13;	3.0260e+00;	1.9715e-11;	1.1981e+02;
2.7000e+03;	1.2460e-11;	7.4762e+01	1.2570e-11;	7.5420e+01	3.5345e-13;	4.2482e+00;	2.5384e-11;	1.5443e+02;
3.2000e+03;	1.5877e-11;	9.5261e+01	1.6341e-11;	9.8047e+01	4.9747e-13;	5.9879e+00;	3.2715e-11;	1.9930e+02;
3.7000e+03;	1.9689e-11;	1.1813e+02	1.9126e-11;	1.1476e+02	6.7021e-13;	8.0953e+00;	3.9486e-11;	2.4099e+02;
4.2000e+03;	2.2529e-11;	1.3518e+02	2.2812e-11;	1.3687e+02	8.9048e-13;	1.0776e+01;	4.6232e-11;	2.8282e+02;
4.7000e+03;	2.5555e-11;	1.5333e+02	2.5432e-11;	1.5259e+02	1.2029e-12;	1.4625e+01;	5.2191e-11;	3.2055e+02;
5.2000e+03;	2.8748e-11;	1.7249e+02	2.8586e-11;	1.7151e+02	1.6200e-12;	1.9793e+01;	5.8954e-11;	3.6379e+02;
5.7000e+03;	3.0714e-11;	1.8429e+02	3.0918e-11;	1.8551e+02	2.1828e-12;	2.6861e+01;	6.3815e-11;	3.9665e+02;
6.2000e+03;	3.2303e-11;	1.9382e+02	3.2100e-11;	1.9260e+02	2.8438e-12;	3.5274e+01;	6.7246e-11;	4.2169e+02;
6.7000e+03;	3.3604e-11;	2.0162e+02	3.3896e-11;	2.0337e+02	3.7383e-12;	4.6736e+01;	7.1238e-11;	4.5173e+02;
7.2000e+03;	3.4837e-11;	2.0902e+02	3.4534e-11;	2.0720e+02	4.7811e-12;	6.0829e+01;	7.4152e-11;	4.7705e+02;
